+----------+---------------------+--------+--------+--------------------+-----------------------+----------+-----------------------------------------------------------------+
| SEVERITY |        NAME         | ORIGIN |  TYPE  |      PACKAGE       |        VERSION        | FIXED BY |                              LINK                               |
+----------+---------------------+--------+--------+--------------------+-----------------------+----------+-----------------------------------------------------------------+
| CRITICAL | CVE-2023-45853      | os     | debian | zlib1g             | 1:1.2.13.dfsg-1       |          | https://avd.aquasec.com/nvd/cve-2023-45853                      |
| HIGH     | CVE-2024-2961       | os     | debian | libc-bin           | 2.36-9+deb12u4        |          | https://avd.aquasec.com/nvd/cve-2024-2961                       |
| HIGH     | CVE-2024-2961       | os     | debian | libc6              | 2.36-9+deb12u4        |          | https://avd.aquasec.com/nvd/cve-2024-2961                       |
| HIGH     | CVE-2023-52425      | os     | debian | libexpat1          | 2.5.0-1               |          | https://avd.aquasec.com/nvd/cve-2023-52425                      |
| HIGH     | CVE-2024-26462      | os     | debian | libgssapi-krb5-2   | 1.20.1-2+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2024-26462                      |
| HIGH     | CVE-2024-26462      | os     | debian | libk5crypto3       | 1.20.1-2+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2024-26462                      |
| HIGH     | CVE-2024-26462      | os     | debian | libkrb5-3          | 1.20.1-2+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2024-26462                      |
| HIGH     | CVE-2024-26462      | os     | debian | libkrb5support0    | 1.20.1-2+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2024-26462                      |
| HIGH     | CVE-2023-7104       | os     | debian | libsqlite3-0       | 3.40.1-2              |          | https://avd.aquasec.com/nvd/cve-2023-7104                       |
| HIGH     | CVE-2023-50387      | os     | debian | libsystemd0        | 252.22-1~deb12u1      |          | https://avd.aquasec.com/nvd/cve-2023-50387                      |
| HIGH     | CVE-2023-50868      | os     | debian | libsystemd0        | 252.22-1~deb12u1      |          | https://avd.aquasec.com/nvd/cve-2023-50868                      |
| HIGH     | CVE-2023-50387      | os     | debian | libudev1           | 252.22-1~deb12u1      |          | https://avd.aquasec.com/nvd/cve-2023-50387                      |
| HIGH     | CVE-2023-50868      | os     | debian | libudev1           | 252.22-1~deb12u1      |          | https://avd.aquasec.com/nvd/cve-2023-50868                      |
| HIGH     | CVE-2023-31484      | os     | debian | perl-base          | 5.36.0-7+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2023-31484                      |
| MEDIUM   | CVE-2023-4039       | os     | debian | gcc-12-base        | 12.2.0-14             |          | https://avd.aquasec.com/nvd/cve-2023-4039                       |
| MEDIUM   | CVE-2023-4039       | os     | debian | libgcc-s1          | 12.2.0-14             |          | https://avd.aquasec.com/nvd/cve-2023-4039                       |
| MEDIUM   | CVE-2024-2236       | os     | debian | libgcrypt20        | 1.10.1-3              |          | https://avd.aquasec.com/nvd/cve-2024-2236                       |
| MEDIUM   | CVE-2024-28834      | os     | debian | libgnutls30        | 3.7.9-2+deb12u2       |          | https://avd.aquasec.com/nvd/cve-2024-28834                      |
| MEDIUM   | CVE-2024-28835      | os     | debian | libgnutls30        | 3.7.9-2+deb12u2       |          | https://avd.aquasec.com/nvd/cve-2024-28835                      |
| MEDIUM   | CVE-2024-26458      | os     | debian | libgssapi-krb5-2   | 1.20.1-2+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2024-26458                      |
| MEDIUM   | CVE-2024-26461      | os     | debian | libgssapi-krb5-2   | 1.20.1-2+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2024-26461                      |
| MEDIUM   | CVE-2024-26458      | os     | debian | libk5crypto3       | 1.20.1-2+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2024-26458                      |
| MEDIUM   | CVE-2024-26461      | os     | debian | libk5crypto3       | 1.20.1-2+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2024-26461                      |
| MEDIUM   | CVE-2024-26458      | os     | debian | libkrb5-3          | 1.20.1-2+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2024-26458                      |
| MEDIUM   | CVE-2024-26461      | os     | debian | libkrb5-3          | 1.20.1-2+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2024-26461                      |
| MEDIUM   | CVE-2024-26458      | os     | debian | libkrb5support0    | 1.20.1-2+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2024-26458                      |
| MEDIUM   | CVE-2024-26461      | os     | debian | libkrb5support0    | 1.20.1-2+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2024-26461                      |
| MEDIUM   | CVE-2023-50495      | os     | debian | libncursesw6       | 6.4-4                 |          | https://avd.aquasec.com/nvd/cve-2023-50495                      |
| MEDIUM   | CVE-2024-22365      | os     | debian | libpam-modules     | 1.5.2-6+deb12u1       |          | https://avd.aquasec.com/nvd/cve-2024-22365                      |
| MEDIUM   | CVE-2024-22365      | os     | debian | libpam-modules-bin | 1.5.2-6+deb12u1       |          | https://avd.aquasec.com/nvd/cve-2024-22365                      |
| MEDIUM   | CVE-2024-22365      | os     | debian | libpam-runtime     | 1.5.2-6+deb12u1       |          | https://avd.aquasec.com/nvd/cve-2024-22365                      |
| MEDIUM   | CVE-2024-22365      | os     | debian | libpam0g           | 1.5.2-6+deb12u1       |          | https://avd.aquasec.com/nvd/cve-2024-22365                      |
| MEDIUM   | CVE-2024-0232       | os     | debian | libsqlite3-0       | 3.40.1-2              |          | https://avd.aquasec.com/nvd/cve-2024-0232                       |
| MEDIUM   | CVE-2023-5678       | os     | debian | libssl3            | 3.0.11-1~deb12u2      |          | https://avd.aquasec.com/nvd/cve-2023-5678                       |
| MEDIUM   | CVE-2023-6129       | os     | debian | libssl3            | 3.0.11-1~deb12u2      |          | https://avd.aquasec.com/nvd/cve-2023-6129                       |
| MEDIUM   | CVE-2023-6237       | os     | debian | libssl3            | 3.0.11-1~deb12u2      |          | https://avd.aquasec.com/nvd/cve-2023-6237                       |
| MEDIUM   | CVE-2024-0727       | os     | debian | libssl3            | 3.0.11-1~deb12u2      |          | https://avd.aquasec.com/nvd/cve-2024-0727                       |
| MEDIUM   | CVE-2023-4039       | os     | debian | libstdc++6         | 12.2.0-14             |          | https://avd.aquasec.com/nvd/cve-2023-4039                       |
| MEDIUM   | CVE-2023-50495      | os     | debian | libtinfo6          | 6.4-4                 |          | https://avd.aquasec.com/nvd/cve-2023-50495                      |
| MEDIUM   | CVE-2023-4641       | os     | debian | login              | 1:4.13+dfsg1-1+b1     |          | https://avd.aquasec.com/nvd/cve-2023-4641                       |
| MEDIUM   | CVE-2023-50495      | os     | debian | ncurses-base       | 6.4-4                 |          | https://avd.aquasec.com/nvd/cve-2023-50495                      |
| MEDIUM   | CVE-2023-50495      | os     | debian | ncurses-bin        | 6.4-4                 |          | https://avd.aquasec.com/nvd/cve-2023-50495                      |
| MEDIUM   | CVE-2023-5678       | os     | debian | openssl            | 3.0.11-1~deb12u2      |          | https://avd.aquasec.com/nvd/cve-2023-5678                       |
| MEDIUM   | CVE-2023-6129       | os     | debian | openssl            | 3.0.11-1~deb12u2      |          | https://avd.aquasec.com/nvd/cve-2023-6129                       |
| MEDIUM   | CVE-2023-6237       | os     | debian | openssl            | 3.0.11-1~deb12u2      |          | https://avd.aquasec.com/nvd/cve-2023-6237                       |
| MEDIUM   | CVE-2024-0727       | os     | debian | openssl            | 3.0.11-1~deb12u2      |          | https://avd.aquasec.com/nvd/cve-2024-0727                       |
| MEDIUM   | CVE-2023-4641       | os     | debian | passwd             | 1:4.13+dfsg1-1+b1     |          | https://avd.aquasec.com/nvd/cve-2023-4641                       |
| LOW      | CVE-2011-3374       | os     | debian | apt                | 2.6.1                 |          | https://avd.aquasec.com/nvd/cve-2011-3374                       |
| LOW      | TEMP-0841856-B18BAF | os     | debian | bash               | 5.2.15-2+b2           |          | https://security-tracker.debian.org/tracker/TEMP-0841856-B18BAF |
| LOW      | CVE-2022-0563       | os     | debian | bsdutils           | 1:2.38.1-5+deb12u1    |          | https://avd.aquasec.com/nvd/cve-2022-0563                       |
| LOW      | CVE-2016-2781       | os     | debian | coreutils          | 9.1-1                 |          | https://avd.aquasec.com/nvd/cve-2016-2781                       |
| LOW      | CVE-2017-18018      | os     | debian | coreutils          | 9.1-1                 |          | https://avd.aquasec.com/nvd/cve-2017-18018                      |
| LOW      | CVE-2022-27943      | os     | debian | gcc-12-base        | 12.2.0-14             |          | https://avd.aquasec.com/nvd/cve-2022-27943                      |
| LOW      | CVE-2022-3219       | os     | debian | gpgv               | 2.2.40-1.1            |          | https://avd.aquasec.com/nvd/cve-2022-3219                       |
| LOW      | CVE-2011-3374       | os     | debian | libapt-pkg6.0      | 2.6.1                 |          | https://avd.aquasec.com/nvd/cve-2011-3374                       |
| LOW      | CVE-2022-0563       | os     | debian | libblkid1          | 2.38.1-5+deb12u1      |          | https://avd.aquasec.com/nvd/cve-2022-0563                       |
| LOW      | CVE-2010-4756       | os     | debian | libc-bin           | 2.36-9+deb12u4        |          | https://avd.aquasec.com/nvd/cve-2010-4756                       |
| LOW      | CVE-2018-20796      | os     | debian | libc-bin           | 2.36-9+deb12u4        |          | https://avd.aquasec.com/nvd/cve-2018-20796                      |
| LOW      | CVE-2019-1010022    | os     | debian | libc-bin           | 2.36-9+deb12u4        |          | https://avd.aquasec.com/nvd/cve-2019-1010022                    |
| LOW      | CVE-2019-1010023    | os     | debian | libc-bin           | 2.36-9+deb12u4        |          | https://avd.aquasec.com/nvd/cve-2019-1010023                    |
| LOW      | CVE-2019-1010024    | os     | debian | libc-bin           | 2.36-9+deb12u4        |          | https://avd.aquasec.com/nvd/cve-2019-1010024                    |
| LOW      | CVE-2019-1010025    | os     | debian | libc-bin           | 2.36-9+deb12u4        |          | https://avd.aquasec.com/nvd/cve-2019-1010025                    |
| LOW      | CVE-2019-9192       | os     | debian | libc-bin           | 2.36-9+deb12u4        |          | https://avd.aquasec.com/nvd/cve-2019-9192                       |
| LOW      | CVE-2010-4756       | os     | debian | libc6              | 2.36-9+deb12u4        |          | https://avd.aquasec.com/nvd/cve-2010-4756                       |
| LOW      | CVE-2018-20796      | os     | debian | libc6              | 2.36-9+deb12u4        |          | https://avd.aquasec.com/nvd/cve-2018-20796                      |
| LOW      | CVE-2019-1010022    | os     | debian | libc6              | 2.36-9+deb12u4        |          | https://avd.aquasec.com/nvd/cve-2019-1010022                    |
| LOW      | CVE-2019-1010023    | os     | debian | libc6              | 2.36-9+deb12u4        |          | https://avd.aquasec.com/nvd/cve-2019-1010023                    |
| LOW      | CVE-2019-1010024    | os     | debian | libc6              | 2.36-9+deb12u4        |          | https://avd.aquasec.com/nvd/cve-2019-1010024                    |
| LOW      | CVE-2019-1010025    | os     | debian | libc6              | 2.36-9+deb12u4        |          | https://avd.aquasec.com/nvd/cve-2019-1010025                    |
